@relation 'IM_auto-status_intelligibility-weka.filters.unsupervised.attribute.Remove-R105-118,121-weka.filters.unsupervised.attribute.Remove-R106-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute timeSinceLastOMsg numeric
@attribute log(lastOMsg) numeric
@attribute KBCountFeature(60) numeric
@attribute log(KBCountFeature(60)) numeric
@attribute KBCountFeature(30) numeric
@attribute log(KBCountFeature(30)) numeric
@attribute Focus {'out of focus','in focus'}
@attribute UserInputCountFeature(120) numeric
@attribute log(UserInputCountFeature(120)) numeric
@attribute _future_respondedWithin(60) {0,1}

@data
9,1,172,2.238046,118,2.075547,'out of focus',464,2.667453,1
12,1.113943,172,2.238046,95,1.982271,'out of focus',458,2.661813,1
18,1.278754,199,2.30103,84,1.929419,'out of focus',485,2.686636,1
24,1.39794,234,2.371068,96,1.986772,'out of focus',520,2.716838,1
6,0.845098,247,2.394452,102,2.012837,'out of focus',380,2.580925,1
5,0.778151,169,2.230449,74,1.875061,'out of focus',296,2.472756,1
10,1.041393,144,2.161368,44,1.653213,'out of focus',296,2.472756,1
2,0.477121,129,2.113943,40,1.612784,'out of focus',301,2.480007,1
4,0.69897,129,2.113943,34,1.544068,'out of focus',301,2.480007,1
8,0.954243,124,2.09691,16,1.230449,'out of focus',305,2.485721,1
3,0.60206,71,1.857333,32,1.518514,'out of focus',321,2.507856,1
7,0.90309,56,1.755875,28,1.462398,'out of focus',294,2.469822,1
19,1.30103,37,1.579784,22,1.361728,'out of focus',218,2.340444,1
22,1.361728,37,1.579784,22,1.361728,'out of focus',206,2.31597,1
40,1.612784,6,0.845098,0,0,'out of focus',56,1.755875,1
4,0.69897,30,1.491362,30,1.491362,'out of focus',64,1.812913,0
13,1.146128,30,1.491362,30,1.491362,'out of focus',64,1.812913,0
22,1.361728,30,1.491362,30,1.491362,'out of focus',52,1.724276,1
35,1.556303,30,1.491362,0,0,'out of focus',36,1.568202,1
41,1.623249,30,1.491362,0,0,'out of focus',36,1.568202,1
14,1.176091,9,1,9,1,'out of focus',39,1.60206,0
26,1.431364,9,1,9,1,'out of focus',39,1.60206,0
45,1.662758,9,1,0,0,'out of focus',9,1,0
49,1.69897,9,1,0,0,'out of focus',9,1,0
57,1.763428,9,1,0,0,'out of focus',9,1,0
85,1.934498,0,0,0,0,'out of focus',9,1,0
169,2.230449,0,0,0,0,'out of focus',0,0,0
196,2.294466,0,0,0,0,'out of focus',0,0,0
128,2.11059,0,0,0,0,'in focus',2371,3.375115,0
138,2.143015,0,0,0,0,'in focus',488,2.689309,0
904,2.956649,83,1.924279,83,1.924279,'in focus',2309,3.363612,1
9,1,102,2.012837,56,1.755875,'in focus',2594,3.414137,1
30,1.491362,303,2.482874,164,2.217484,'out of focus',1382,3.140822,0
569,2.755875,0,0,0,0,'out of focus',204,2.311754,1
580,2.764176,0,0,0,0,'out of focus',207,2.318063,1
18,1.278754,154,2.190332,77,1.892095,'out of focus',442,2.646404,1
3,0.60206,201,2.305351,137,2.139879,'out of focus',507,2.705864,1
0,0,206,2.31597,129,2.113943,'out of focus',493,2.693727,1
